Index,Date,Sentiment
0,2017-12-13 9:00,3.428571429
1,2017-12-14 9:00,2.363636364
2,2017-12-15 9:00,2.76863313
3,2017-12-16 9:00,1.666666667
3,2017-12-17 9:00,3.333333333
4,2017-12-18 9:00,2.5
5,2017-12-19 9:00,4
6,2017-12-20 9:00,3.571428571
7,2017-12-21 9:00,2.307692308
8,2017-12-22 9:00,1
9,2017-12-23 9:00,2.333333333
10,2017-12-24 9:00,3.75
11,2017-12-25 9:00,2.75
12,2017-12-26 9:00,2.7
13,2017-12-27 9:00,3.6
14,2017-12-28 9:00,3.125
15,2017-12-29 9:00,2.76863313
16,2017-12-30 9:00,2.76863313
17,2017-12-31 9:00,1.666666667
18,2018-01-01 9:00,2.888888889
19,2018-01-02 9:00,2.75
20,2018-01-03 9:00,2.6
21,2018-01-04 9:00,3.4
22,2018-01-05 9:00,2.76863313
23,2018-01-06 9:00,2.76863313
24,2018-01-07 9:00,1.857142857
25,2018-01-08 9:00,3
26,2018-01-09 9:00,1.571428571
27,2018-01-10 9:00,2.6
28,2018-01-11 9:00,3
29,2018-01-12 9:00,2.76863313
30,2018-01-13 9:00,2.76863313
31,2018-01-14 9:00,3
32,2018-01-15 9:00,2.545454545
33,2018-01-16 9:00,2.5
34,2018-01-17 9:00,3.083333333
35,2018-01-18 9:00,3
36,2018-01-19 9:00,2.76863313
36,2018-01-20 9:00,0.5
37,2018-01-21 9:00,1
38,2018-01-22 9:00,3.1
39,2018-01-23 9:00,1.75
40,2018-01-24 9:00,3.4
41,2018-01-25 9:00,1.75
42,2018-01-26 9:00,2.76863313
43,2018-01-28 9:00,1.4
44,2018-01-29 9:00,2.5
45,2018-01-30 9:00,1.875
46,2018-01-31 9:00,2.875
47,2018-02-01 9:00,2.642857143
48,2018-02-02 9:00,2.333333333
48,2018-02-03 9:00,2.333333333
49,2018-02-04 9:00,2.333333333
50,2018-02-05 9:00,2.8
51,2018-02-06 9:00,4.666666667
52,2018-02-07 9:00,3.363636364
53,2018-02-08 9:00,2.333333333
54,2018-02-09 9:00,2.76863313
54,2018-02-10 9:00,2.25
55,2018-02-11 9:00,4.5
56,2018-02-12 9:00,1.833333333
57,2018-02-13 9:00,3.125
58,2018-02-14 9:00,3.166666667
59,2018-02-15 9:00,3.333333333
60,2018-02-16 9:00,2.76863313
60,2018-02-17 9:00,0.5
61,2018-02-18 9:00,1
62,2018-02-19 9:00,3.25
63,2018-02-20 9:00,3.2
64,2018-02-21 9:00,2.4
65,2018-02-22 9:00,2.8
66,2018-02-23 9:00,2.5
